"c7266b67-4ea2-457f-b391-9b94e26e195a";"m2*a";"eb955b7c-7bed-401f-9c76-5db716ca3640";"m2*year"
"fe8da65d-f0ea-4496-b13e-1955aaa412d7";"p*km";"0e6f38bc-51be-4382-802d-1f389a88e589";"person*km"
"3d314eab-ef11-4ff3-a35e-9bc5cd858694";"m";"f2aaa4ba-fb58-49a7-a552-e7f64366f379";"m"
"845178d8-3f2c-497f-9ca6-3c5657c2823c";"s";"a5d2899a-ea3f-4810-a530-a26fff736aac";"s"
"0dea4ed8-bb6b-4049-b2b4-b2c413ef2180";"t*km";"2f4daad7-5331-4f14-930c-d8bca924557d";"metric ton*km"
"6dabe201-aaac-4509-92f0-d00c26cb72ab";"Item(s)";"5b972631-34e3-4db7-a615-f6931770a0cb";"unit"
"e9773595-284e-46dd-9671-5fc9ff406833";"kBq";"4923348e-591b-4772-b224-d19df86f04c9";"kBq"
"f7fe0af2-e764-4984-bb9f-2cbff6cd2f18";"m*a";"8266bd67-ebd3-4d31-b972-eee3cf0da36f";"m*year"
"debee4d9-bc47-4e35-8624-4957ecb75386";"ha";"86bbe475-8a8f-44d8-914c-e398787e7121";"ha"
"b80a512e-e402-4363-8ad0-7d02dcf4a459";"l";"86b0e4a2-57e5-48b8-a43d-22c7f8490dca";"l"
"227a54d9-44e7-468c-b8bb-f2dd1ae68c7a";"h";"e32b56ef-fa80-4487-9796-f3c1476c27b3";"hour"
"cc44768b-c0ce-4bc9-804a-c59b67d22e39";"mm";"3e2c67b8-bc67-42a5-bc81-00756f0e05bb";"mm"
"3ce61faa-5716-41c1-aef6-b5920054acc9";"m2";"1017f68a-f818-4f9d-a34d-a31e7386f628";"m2"
"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";"de5b3c87-0e35-4fb0-9765-4f3ba34c99e5";"m3"
"9a87f840-752d-4863-b911-533f92ee5073";"a";"2cf92850-0f92-4004-9dba-a6ceb6a414c2";"year"
"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";"487df68b-4994-4027-8fdc-a4dc298257b7";"kg"
"ee5f2241-18af-4444-b457-b275660e5a20";"m3*a";"481b9712-c417-44f1-bfba-38d58088173c";"m3*year"
"715ca68e-0ac5-4c4b-b557-fdc36623be88";"km";"ae252091-811b-461b-8e89-8f3075639eb1";"km"
"c8166ae2-b592-4eb9-b365-e384c8b79f3c";"km2*a";"08bd0c61-0b9a-4280-bc25-3444d52c15bf";"km*year"
"86ad2244-1f0e-4912-af53-7865283103e4";"kWh";"77ae64fa-7e74-4252-9c3b-889c1cd20bfc";"kWh"
"52765a6c-3896-43c2-b2f4-c679acf13efe";"MJ";"980b811e-3905-4797-82a5-173f5568bc7e";"MJ"
